Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s)
2/17/2026, 17:43:01, 39.744453, -105.151009, 1738.30, 0.05
2/17/2026, 17:43:03, 39.744453, -105.151009, 1738.10, 0.05
2/17/2026, 17:43:04, 39.744450, -105.151009, 1739.40, 0.13
2/17/2026, 17:43:05, 39.744453, -105.151009, 1740.80, 0.23
2/17/2026, 17:43:06, 39.744453, -105.151009, 1741.70, 0.09
2/17/2026, 17:43:07, 39.744453, -105.151009, 1741.90, 0.07
2/17/2026, 17:43:08, 39.744453, -105.151009, 1741.70, 0.03
2/17/2026, 17:43:09, 39.744457, -105.151009, 1741.60, 0.07
2/17/2026, 17:43:10, 39.744457, -105.150978, 1741.10, 0.07
2/17/2026, 17:43:11, 39.744457, -105.150978, 1741.10, 0.05
2/17/2026, 17:43:12, 39.744457, -105.150978, 1741.10, 0.03
2/17/2026, 17:43:13, 39.744457, -105.150963, 1741.00, 0.01
2/17/2026, 17:43:14, 39.744457, -105.150963, 1741.00, 0.01
2/17/2026, 17:43:15, 39.744457, -105.150963, 1740.70, 0.05
2/17/2026, 17:43:16, 39.744457, -105.150963, 1740.40, 0.05
2/17/2026, 17:43:17, 39.744457, -105.150963, 1740.10, 0.02
2/17/2026, 17:43:18, 39.744457, -105.150963, 1740.00, 0.01
2/17/2026, 17:43:19, 39.744457, -105.150963, 1739.40, 0.04
2/17/2026, 17:43:20, 39.744461, -105.150963, 1739.00, 0.06
2/17/2026, 17:43:21, 39.744461, -105.150978, 1738.70, 0.05
2/17/2026, 17:43:22, 39.744461, -105.150978, 1738.40, 0.07
2/17/2026, 17:43:23, 39.744461, -105.150978, 1738.10, 0.06
2/17/2026, 17:43:24, 39.744461, -105.150978, 1737.80, 0.05
2/17/2026, 17:43:25, 39.744457, -105.150963, 1736.70, 0.04
2/17/2026, 17:43:26, 39.744453, -105.150963, 1735.80, 0.05
2/17/2026, 17:43:27, 39.744453, -105.150963, 1735.00, 0.05
2/17/2026, 17:43:28, 39.744453, -105.150963, 1734.50, 0.05
2/17/2026, 17:43:29, 39.744453, -105.150963, 1734.30, 0.04
2/17/2026, 17:43:30, 39.744453, -105.150963, 1734.20, 0.01
2/17/2026, 17:43:31, 39.744453, -105.150963, 1734.00, 0.02
2/17/2026, 17:43:32, 39.744453, -105.150963, 1733.80, 0.02
2/17/2026, 17:43:33, 39.744453, -105.150963, 1733.70, 0.01
2/17/2026, 17:43:34, 39.744457, -105.150963, 1733.60, 0.02
2/17/2026, 17:43:35, 39.744457, -105.150963, 1733.60, 0.02
2/17/2026, 17:43:36, 39.744457, -105.150963, 1733.60, 0.02
2/17/2026, 17:43:37, 39.744457, -105.150963, 1733.60, 0.02
2/17/2026, 17:43:38, 39.744457, -105.150963, 1733.60, 0.04
2/17/2026, 17:43:39, 39.744461, -105.150963, 1733.30, 0.40
2/17/2026, 17:43:40, 39.744465, -105.150963, 1733.30, 0.52
2/17/2026, 17:43:41, 39.744469, -105.150948, 1733.10, 0.67
2/17/2026, 17:43:42, 39.744473, -105.150948, 1733.00, 0.87
2/17/2026, 17:43:43, 39.744484, -105.150948, 1732.90, 0.77
2/17/2026, 17:43:44, 39.744488, -105.150948, 1732.80, 0.48
2/17/2026, 17:43:45, 39.744488, -105.150925, 1732.70, 0.07
2/17/2026, 17:43:46, 39.744480, -105.150925, 1732.50, 0.71
2/17/2026, 17:43:47, 39.744469, -105.150909, 1732.40, 1.29
2/17/2026, 17:43:48, 39.744469, -105.150879, 1732.20, 2.20
2/17/2026, 17:43:49, 39.744461, -105.150864, 1732.00, 2.31
2/17/2026, 17:43:50, 39.744450, -105.150833, 1731.70, 2.73
2/17/2026, 17:43:51, 39.744431, -105.150810, 1731.70, 2.76
2/17/2026, 17:43:52, 39.744408, -105.150810, 1731.80, 2.30
2/17/2026, 17:43:53, 39.744396, -105.150833, 1731.80, 2.32
2/17/2026, 17:43:54, 39.744385, -105.150848, 1732.00, 2.86
2/17/2026, 17:43:55, 39.744377, -105.150879, 1732.10, 2.96
2/17/2026, 17:43:56, 39.744373, -105.150909, 1732.40, 2.49
2/17/2026, 17:43:57, 39.744366, -105.150925, 1732.20, 2.59
2/17/2026, 17:43:58, 39.744347, -105.150963, 1732.40, 3.01
2/17/2026, 17:43:59, 39.744320, -105.150978, 1732.40, 3.43
2/17/2026, 17:44:00, 39.744289, -105.150978, 1732.20, 3.97
2/17/2026, 17:44:01, 39.744255, -105.150993, 1732.20, 4.40
2/17/2026, 17:44:02, 39.744213, -105.150993, 1732.30, 4.73
2/17/2026, 17:44:03, 39.744167, -105.150993, 1732.40, 5.19
2/17/2026, 17:44:04, 39.744122, -105.150993, 1732.60, 5.49
2/17/2026, 17:44:05, 39.744072, -105.151009, 1732.70, 5.64
2/17/2026, 17:44:06, 39.744019, -105.151009, 1732.90, 6.09
2/17/2026, 17:44:07, 39.743958, -105.151024, 1732.80, 6.50
2/17/2026, 17:44:08, 39.743896, -105.151024, 1732.80, 6.94
2/17/2026, 17:44:09, 39.743832, -105.151039, 1732.70, 7.14
2/17/2026, 17:44:10, 39.743771, -105.151039, 1732.60, 6.67
2/17/2026, 17:44:11, 39.743713, -105.151054, 1732.30, 5.69
2/17/2026, 17:44:12, 39.743668, -105.151054, 1732.20, 4.56
2/17/2026, 17:44:13, 39.743637, -105.151077, 1731.70, 3.30
2/17/2026, 17:44:14, 39.743607, -105.151093, 1731.60, 3.30
2/17/2026, 17:44:15, 39.743584, -105.151108, 1731.60, 3.13
2/17/2026, 17:44:16, 39.743565, -105.151138, 1731.70, 4.02
2/17/2026, 17:44:17, 39.743546, -105.151192, 1731.70, 5.13
